machine_id,machine_name,machine_type
MAC-01,Machine Unit 1 (model3),model3
MAC-02,Machine Unit 2 (model4),model4
MAC-03,Machine Unit 3 (model3),model3
MAC-04,Machine Unit 4 (model3),model3
MAC-05,Machine Unit 5 (model3),model3
MAC-06,Machine Unit 6 (model3),model3
MAC-07,Machine Unit 7 (model3),model3
MAC-08,Machine Unit 8 (model3),model3
MAC-09,Machine Unit 9 (model4),model4
MAC-10,Machine Unit 10 (model3),model3
MAC-11,Machine Unit 11 (model2),model2
MAC-12,Machine Unit 12 (model3),model3
MAC-13,Machine Unit 13 (model1),model1
MAC-14,Machine Unit 14 (model3),model3
MAC-15,Machine Unit 15 (model3),model3
MAC-16,Machine Unit 16 (model1),model1
MAC-17,Machine Unit 17 (model1),model1
MAC-18,Machine Unit 18 (model3),model3
MAC-19,Machine Unit 19 (model3),model3
MAC-20,Machine Unit 20 (model2),model2
MAC-21,Machine Unit 21 (model2),model2
MAC-22,Machine Unit 22 (model1),model1
MAC-23,Machine Unit 23 (model1),model1
MAC-24,Machine Unit 24 (model1),model1
MAC-25,Machine Unit 25 (model4),model4
MAC-26,Machine Unit 26 (model3),model3
MAC-27,Machine Unit 27 (model3),model3
MAC-28,Machine Unit 28 (model4),model4
MAC-29,Machine Unit 29 (model4),model4
MAC-30,Machine Unit 30 (model3),model3
MAC-31,Machine Unit 31 (model1),model1
MAC-32,Machine Unit 32 (model4),model4
MAC-33,Machine Unit 33 (model3),model3
MAC-34,Machine Unit 34 (model4),model4
MAC-35,Machine Unit 35 (model1),model1
MAC-36,Machine Unit 36 (model4),model4
MAC-37,Machine Unit 37 (model1),model1
MAC-38,Machine Unit 38 (model4),model4
MAC-39,Machine Unit 39 (model4),model4
MAC-40,Machine Unit 40 (model2),model2
MAC-41,Machine Unit 41 (model4),model4
MAC-42,Machine Unit 42 (model1),model1
MAC-43,Machine Unit 43 (model3),model3
MAC-44,Machine Unit 44 (model4),model4
MAC-45,Machine Unit 45 (model3),model3
MAC-46,Machine Unit 46 (model4),model4
MAC-47,Machine Unit 47 (model2),model2
MAC-48,Machine Unit 48 (model4),model4
MAC-49,Machine Unit 49 (model1),model1
MAC-50,Machine Unit 50 (model4),model4
MAC-51,Machine Unit 51 (model4),model4
MAC-52,Machine Unit 52 (model3),model3
MAC-53,Machine Unit 53 (model3),model3
MAC-54,Machine Unit 54 (model2),model2
MAC-55,Machine Unit 55 (model3),model3
MAC-56,Machine Unit 56 (model1),model1
MAC-57,Machine Unit 57 (model4),model4
MAC-58,Machine Unit 58 (model1),model1
MAC-59,Machine Unit 59 (model3),model3
MAC-60,Machine Unit 60 (model4),model4
MAC-61,Machine Unit 61 (model4),model4
MAC-62,Machine Unit 62 (model4),model4
MAC-63,Machine Unit 63 (model4),model4
MAC-64,Machine Unit 64 (model3),model3
MAC-65,Machine Unit 65 (model3),model3
MAC-66,Machine Unit 66 (model4),model4
MAC-67,Machine Unit 67 (model4),model4
MAC-68,Machine Unit 68 (model3),model3
MAC-69,Machine Unit 69 (model2),model2
MAC-70,Machine Unit 70 (model3),model3
MAC-71,Machine Unit 71 (model2),model2
MAC-72,Machine Unit 72 (model4),model4
MAC-73,Machine Unit 73 (model2),model2
MAC-74,Machine Unit 74 (model4),model4
MAC-75,Machine Unit 75 (model3),model3
MAC-76,Machine Unit 76 (model2),model2
MAC-77,Machine Unit 77 (model4),model4
MAC-78,Machine Unit 78 (model4),model4
MAC-79,Machine Unit 79 (model3),model3
MAC-80,Machine Unit 80 (model3),model3
MAC-81,Machine Unit 81 (model4),model4
MAC-82,Machine Unit 82 (model3),model3
MAC-83,Machine Unit 83 (model4),model4
MAC-84,Machine Unit 84 (model3),model3
MAC-85,Machine Unit 85 (model1),model1
MAC-86,Machine Unit 86 (model3),model3
MAC-87,Machine Unit 87 (model2),model2
MAC-88,Machine Unit 88 (model4),model4
MAC-89,Machine Unit 89 (model3),model3
MAC-90,Machine Unit 90 (model2),model2
MAC-91,Machine Unit 91 (model4),model4
MAC-92,Machine Unit 92 (model1),model1
MAC-93,Machine Unit 93 (model3),model3
MAC-94,Machine Unit 94 (model2),model2
MAC-95,Machine Unit 95 (model2),model2
MAC-96,Machine Unit 96 (model2),model2
MAC-97,Machine Unit 97 (model2),model2
MAC-98,Machine Unit 98 (model2),model2
MAC-99,Machine Unit 99 (model1),model1
MAC-100,Machine Unit 100 (model4),model4
M002,Manufacturing Line M002,Production Line
M009,Manufacturing Line M009,Production Line
M001,Manufacturing Line M001,Production Line
M010,Manufacturing Line M010,Production Line
M003,Manufacturing Line M003,Production Line
M005,Manufacturing Line M005,Production Line
M004,Manufacturing Line M004,Production Line
M006,Manufacturing Line M006,Production Line
M008,Manufacturing Line M008,Production Line
M007,Manufacturing Line M007,Production Line
